DC,KID,LPH,Mass,Prot,Prot_err,Teff,logg,w
0,11911107,0.249,0.9269,0.889,0.168,5357,4.46,0.1099
0,11911337,0.207,1.0188,17.235,0.265,5698,4.6,0.1316
0,11911454,0.23199999999999998,0.9472,10.597999999999999,0.102,5434,4.62,0.1011
0,11911520,0.13699999999999998,0.9768,60.861999999999995,3.655,5545,4.8,0.0042
0,11911619,0.126,1.003,54.56,5.728,5641,4.61,0.0066
0,11912108,0.087,1.1033,61.516000000000005,2.247,5988,4.55,0.0008
0,11912281,0.426,1.0698,54.086000000000006,3.614,5876,4.55,0.165
0,11912337,0.265,0.9143,29.169,3.339,5309,4.9,0.1954
0,11912380,0.156,0.9128,29.905,2.99,5303,4.87,0.1303
0,11912541,0.301,0.9623,45.316,1.176,5491,5.02,0.0977
0,11912577,0.215,0.7279,42.863,4.438,4599,4.39,0.0892
0,11912696,0.139,0.9203,37.077,8.55,5332,4.55,0.0606
0,11913122,0.34,0.863,58.818000000000005,9.737,5111,4.42,0.0963
0,11913170,0.21100000000000002,1.1159,66.459,2.48,6029,4.46,0.0003
0,11913645,0.149,1.0169,24.089000000000002,1.337,5691,4.52,0.1072
0,11917313,0.27,0.9551,54.239,2.406,5464,4.26,0.0507
0,11917366,0.299,0.8545,34.931,7.093999999999999,5078,4.58,0.18
0,11917590,0.35,1.1275,52.553999999999995,1.133,6066,4.37,0.1096
0,11917708,0.446,0.9994,48.6,2.715,5628,4.96,0.1916
0,11918088,0.42100000000000004,0.9021,64.882,1.8530000000000002,5262,4.07,0.1475
0,11918098,0.213,0.9618,25.021,3.827,5489,4.5,0.1595
0,11918113,0.22699999999999998,0.8171,55.099,12.865,4934,4.43,0.0184
0,11918275,0.32799999999999996,0.7888,27.796999999999997,0.48100000000000004,4826,4.27,0.1938
0,11918407,0.191,0.9639,61.126999999999995,14.238,5497,4.4,0.0041
0,11918466,0.069,1.0625,1.153,0.003,5851,4.6,0.0218
0,11918473,0.20800000000000002,0.8004,44.883,5.853,4870,4.57,0.0509
0,11918816,0.306,0.9739,49.378,9.86,5534,4.55,0.0894
0,11918972,0.111,1.0695,32.686,6.5120000000000005,5875,4.62,0.028
0,11919013,0.19699999999999998,0.9193,22.017,4.474,5328,4.67,0.0924
0,11919042,0.154,0.8213,67.298,7.416,4950,4.5,0.0037
0,11919044,0.07,0.8387,23.57,2.574,5017,4.77,0.0335
0,11919056,0.16399999999999998,0.983,46.435,5.492000000000001,5568,4.87,0.016
0,11919108,0.307,0.9135,59.717,12.448,5306,3.98,0.0694
0,11919197,0.19399999999999998,0.9599,32.009,4.604,5482,4.79,0.0848
0,11919337,0.172,0.9639,2.372,0.03,5497,4.5,0.0505
0,11919365,0.111,1.0227,41.368,5.3420000000000005,5712,4.3,0.0193
0,11919388,0.11699999999999999,1.1165,17.162,0.732,6031,4.55,0.0847
0,11919500,0.33399999999999996,0.6942,29.753,0.35100000000000003,4478,4.55,0.1905
0,11919649,0.156,0.9701,61.288000000000004,3.945,5520,3.93,0.0041
0,11919714,0.205,1.1958,5.935,0.155,6275,4.33,0.1649
0,11919751,0.23600000000000002,1.1076,16.064,0.7390000000000001,6002,4.57,0.1678
0,11919889,0.273,0.9535,6.202000000000001,1.139,5458,4.55,0.1311
0,11919939,0.043,1.0357,10.554,2.03,5758,4.54,0.0448
0,11920017,0.314,0.9833,41.049,1.161,5569,4.68,0.1191
0,11920458,0.177,1.0736,46.031000000000006,1.439,5889,4.29,0.0064
0,11920497,0.048,0.9154,1.661,0.044000000000000004,5313,4.47,0.006
0,11920542,0.23199999999999998,0.7769,35.074,10.431,4781,4.43,0.1614
0,11920547,0.20199999999999999,1.0969,25.859,4.871,5967,4.45,0.0668
0,11920665,0.21100000000000002,1.2235,19.87,0.86,6355,3.92,0.0653
0,11920904,0.20600000000000002,1.0022,27.011999999999997,0.7,5638,4.54,0.1163
0,11920973,0.295,1.1082,50.214,1.743,6004,4.43,0.0712
0,11920975,0.163,1.021,55.508,3.747,5706,4.26,0.0047
0,11921134,0.212,0.8431,48.622,5.632000000000001,5034,4.53,0.0239
0,11921471,0.174,1.0772,22.528000000000002,2.384,5901,4.44,0.0796
0,11921763,0.165,1.0298,21.685,2.383,5737,4.51,0.1217
0,11921843,0.27699999999999997,1.0506,18.98,0.853,5810,4.23,0.2174
0,11921851,0.287,1.05,39.488,7.22,5808,4.43,0.0925
0,11921901,0.23199999999999998,0.8894,40.611999999999995,6.556,5213,4.2,0.0727
0,11922520,0.295,0.8247,29.635,0.607,4963,4.78,0.1886
0,11922901,0.158,0.8578,35.247,2.033,5091,4.56,0.103
0,11923068,0.32799999999999996,1.1443,60.775,1.41,6119,4.45,0.0809
0,11923210,0.233,1.1141,31.21,0.614,6023,4.54,0.0632
0,11923255,0.163,1.1061,3.148,0.049,5997,4.76,0.0687
