,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
11381,5273758,4963,4.7,0.8247,31.805,4.574,4557.37,0.488,0.3357,0,---
11382,5274142,5481,4.63,0.9596,19.129,0.544,3396.84,0.475,0.3283,0,---
11383,5280983,6320,4.61,1.2113,3.6919999999999997,0.004,2427.91,0.9309999999999999,0.6007,0,---
11384,5281167,5747,4.49,1.0326,9.515,0.013000000000000001,2972.63,1.452,0.726,0,---
11385,5281361,5823,4.66,1.0543,17.014,0.311,2328.81,0.586,0.4145,0,---
11386,5281403,5826,4.79,1.0552,24.81,0.332,1522.48,0.431,0.2574,0,---
11387,5281475,5752,4.75,1.034,16.073,0.215,1683.41,0.57,0.4196,0,---
11388,5281517,5306,4.81,0.9135,28.66,1.493,1816.63,0.349,0.2535,0,---
11389,5281537,5298,4.64,0.9115,17.724,0.04,6534.25,0.9259999999999999,0.5828,0,---
11390,5281643,6300,4.52,1.2043,6.747000000000001,0.168,2855.42,0.531,0.4032,0,---
11391,5281714,6089,4.43,1.1347,11.772,0.11,2189.82,0.5,0.3653,0,---
11392,5281811,4931,4.58,0.8163,21.546,0.099,4109.98,0.871,0.5467,0,---
11393,5281818,5525,4.29,0.9714,4.272,0.005,13093.74,1.403,0.7187,0,---
11394,5281958,5866,4.73,1.0668,12.065,0.017,15025.14,1.21,0.6619,0,---
11395,5281966,5657,4.48,1.0074,4.907,0.005,21189.15,0.894,0.5158,0,---
11396,5282007,5368,4.73,0.9298,24.695,0.7190000000000001,4028.86,0.627,0.4273,0,---
11397,5282039,5051,4.48,0.8475,29.833000000000002,7.148,4094.36,0.545,0.3739,0,---
11398,5282045,4809,4.29,0.7843,9.503,0.005,17872.33,1.504,0.7701,0,---
11399,5282148,5287,4.51,0.9086,14.595999999999998,0.1,13135.7,1.091,0.6425,0,---
11400,5282229,5909,4.76,1.0795,14.78,0.11699999999999999,7816.88,0.9279999999999999,0.557,0,---
11401,5282285,5771,4.57,1.0394,18.06,0.579,4439.23,0.498,0.3694,0,---
11402,5282297,5850,4.49,1.0622,18.662,0.7340000000000001,2970.58,0.654,0.4238,0,---
11403,5282313,5362,4.36,0.9282,37.489000000000004,1.614,2190.65,0.483,0.2569,0,---
